Date,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Hour,Seasons,Rented Bike Count
02/12/2017,-4.0,79,1.5,1202,0.0,0.0,0.0,No Holiday,5,Winter,79
02/12/2017,-4.3,82,2.1,1178,0.0,0.0,0.0,No Holiday,6,Winter,70
02/12/2017,-4.4,81,2.5,1276,0.0,0.0,0.0,No Holiday,7,Winter,146
02/12/2017,-4.2,79,2.1,1436,0.01,0.0,0.0,No Holiday,8,Winter,219
02/12/2017,-2.9,68,1.6,1487,0.3,0.0,0.0,No Holiday,9,Winter,328
02/12/2017,-0.4,57,1.6,1309,0.8,0.0,0.0,No Holiday,10,Winter,334
02/12/2017,1.9,49,1.8,1406,1.0,0.0,0.0,No Holiday,11,Winter,388
02/12/2017,4.3,41,1.3,1666,1.09,0.0,0.0,No Holiday,12,Winter,479
02/12/2017,6.0,36,1.8,1780,1.12,0.0,0.0,No Holiday,13,Winter,606
02/12/2017,7.3,35,1.3,1955,0.99,0.0,0.0,No Holiday,14,Winter,611
02/12/2017,7.6,41,2.3,1953,0.74,0.0,0.0,No Holiday,15,Winter,589
02/12/2017,6.4,48,2.6,1945,0.22,0.0,0.0,No Holiday,16,Winter,618
02/12/2017,6.0,51,2.5,1891,0.06,0.0,0.0,No Holiday,17,Winter,572
02/12/2017,5.5,53,1.5,1697,0.0,0.0,0.0,No Holiday,18,Winter,489
02/12/2017,5.0,52,2.3,1666,0.0,0.0,0.0,No Holiday,19,Winter,385
02/12/2017,4.6,51,1.2,1585,0.0,0.0,0.0,No Holiday,20,Winter,359
02/12/2017,4.1,55,1.2,1448,0.0,0.0,0.0,No Holiday,21,Winter,377
02/12/2017,3.5,54,1.5,1446,0.0,0.0,0.0,No Holiday,22,Winter,354
02/12/2017,4.0,56,1.0,1352,0.0,0.0,0.0,No Holiday,23,Winter,366
03/12/2017,4.0,58,1.4,1296,0.0,0.0,0.0,No Holiday,0,Winter,342
03/12/2017,3.9,69,1.7,485,0.0,0.0,0.0,No Holiday,1,Winter,227
03/12/2017,3.3,79,1.4,830,0.0,0.0,0.0,No Holiday,2,Winter,228
03/12/2017,3.4,71,1.6,1011,0.0,0.5,0.0,No Holiday,3,Winter,117
03/12/2017,3.5,73,1.0,1060,0.0,0.0,0.0,No Holiday,4,Winter,76
03/12/2017,3.9,75,1.9,914,0.0,0.0,0.0,No Holiday,5,Winter,32
03/12/2017,3.4,86,2.5,278,0.0,1.0,0.0,No Holiday,6,Winter,13
03/12/2017,3.1,91,1.2,129,0.0,0.0,0.0,No Holiday,7,Winter,22
03/12/2017,3.2,92,1.8,244,0.0,0.0,0.0,No Holiday,8,Winter,85
03/12/2017,3.5,91,1.8,231,0.02,2.5,0.0,No Holiday,9,Winter,152
03/12/2017,4.4,89,2.2,257,0.24,0.0,0.0,No Holiday,10,Winter,200
03/12/2017,5.1,87,1.4,321,0.25,0.0,0.0,No Holiday,11,Winter,273
03/12/2017,5.8,85,1.7,349,0.43,0.0,0.0,No Holiday,12,Winter,333
03/12/2017,6.8,81,1.9,390,0.6,0.0,0.0,No Holiday,13,Winter,495
03/12/2017,7.6,76,1.2,422,0.69,0.0,0.0,No Holiday,14,Winter,563
03/12/2017,8.0,73,1.6,433,0.53,0.0,0.0,No Holiday,15,Winter,621
03/12/2017,7.6,77,1.6,399,0.2,0.0,0.0,No Holiday,16,Winter,598
03/12/2017,6.7,82,1.5,358,0.05,0.0,0.0,No Holiday,17,Winter,545
03/12/2017,6.0,84,1.9,327,0.0,0.0,0.0,No Holiday,18,Winter,443
03/12/2017,5.7,85,1.7,309,0.0,0.0,0.0,No Holiday,19,Winter,422
03/12/2017,5.2,87,1.4,253,0.0,0.0,0.0,No Holiday,20,Winter,397
03/12/2017,4.7,87,1.2,247,0.0,0.0,0.0,No Holiday,21,Winter,385
03/12/2017,4.3,89,1.8,201,0.0,0.0,0.0,No Holiday,22,Winter,350
03/12/2017,3.9,90,1.3,194,0.0,0.0,0.0,No Holiday,23,Winter,303
04/12/2017,4.2,88,0.6,216,0.0,0.0,0.0,No Holiday,0,Winter,285
04/12/2017,4.3,87,0.5,221,0.0,0.0,0.0,No Holiday,1,Winter,186
04/12/2017,4.4,87,1.8,207,0.0,0.0,0.0,No Holiday,2,Winter,112
04/12/2017,3.6,85,2.3,206,0.0,0.0,0.0,No Holiday,3,Winter,65
04/12/2017,2.8,89,1.5,130,0.0,0.0,0.0,No Holiday,4,Winter,41
04/12/2017,2.0,83,2.7,253,0.0,0.0,0.0,No Holiday,5,Winter,82
04/12/2017,1.2,76,3.7,371,0.0,0.1,0.0,No Holiday,6,Winter,200
04/12/2017,0.2,68,3.4,702,0.0,0.0,0.0,No Holiday,7,Winter,498
04/12/2017,-0.8,69,3.5,954,0.01,0.0,0.0,No Holiday,8,Winter,937
04/12/2017,-1.5,47,4.2,1888,0.22,0.0,0.0,No Holiday,9,Winter,509
04/12/2017,-1.1,40,4.5,2000,0.64,0.0,0.0,No Holiday,10,Winter,311
04/12/2017,-0.5,41,4.1,1799,0.94,0.0,0.0,No Holiday,11,Winter,379
04/12/2017,-0.3,38,4.8,1823,1.11,0.0,0.0,No Holiday,12,Winter,393
04/12/2017,0.0,30,5.4,1938,1.17,0.0,0.0,No Holiday,13,Winter,391
04/12/2017,0.1,27,4.5,2000,1.09,0.0,0.0,No Holiday,14,Winter,338
04/12/2017,-0.1,25,5.8,2000,0.88,0.0,0.0,No Holiday,15,Winter,341
04/12/2017,-0.2,23,4.7,2000,0.55,0.0,0.0,No Holiday,16,Winter,375
04/12/2017,-1.3,26,5.3,2000,0.18,0.0,0.0,No Holiday,17,Winter,515
04/12/2017,-2.1,29,3.9,2000,0.0,0.0,0.0,No Holiday,18,Winter,807
04/12/2017,-2.9,32,3.2,2000,0.0,0.0,0.0,No Holiday,19,Winter,568
04/12/2017,-3.6,38,3.0,2000,0.0,0.0,0.0,No Holiday,20,Winter,398
04/12/2017,-4.6,43,4.5,2000,0.0,0.0,0.0,No Holiday,21,Winter,397
04/12/2017,-5.3,45,2.5,2000,0.0,0.0,0.0,No Holiday,22,Winter,353
04/12/2017,-5.8,44,2.4,2000,0.0,0.0,0.0,No Holiday,23,Winter,248
05/12/2017,-6.1,42,2.6,2000,0.0,0.0,0.0,No Holiday,0,Winter,216
05/12/2017,-6.5,41,2.8,2000,0.0,0.0,0.0,No Holiday,1,Winter,198
05/12/2017,-6.8,41,2.5,2000,0.0,0.0,0.0,No Holiday,2,Winter,124
05/12/2017,-6.9,39,2.0,2000,0.0,0.0,0.0,No Holiday,3,Winter,62
05/12/2017,-7.2,34,3.0,2000,0.0,0.0,0.0,No Holiday,4,Winter,42
05/12/2017,-7.4,33,2.6,2000,0.0,0.0,0.0,No Holiday,5,Winter,82
05/12/2017,-7.4,34,3.2,2000,0.0,0.0,0.0,No Holiday,6,Winter,172
05/12/2017,-7.5,33,2.2,2000,0.0,0.0,0.0,No Holiday,7,Winter,381
05/12/2017,-8.1,36,1.6,2000,0.01,0.0,0.0,No Holiday,8,Winter,812
05/12/2017,-7.6,31,1.3,1974,0.21,0.0,0.0,No Holiday,9,Winter,462
05/12/2017,-5.5,26,2.8,1967,0.64,0.0,0.0,No Holiday,10,Winter,269
05/12/2017,-3.9,25,0.0,1959,0.0,0.0,0.0,No Holiday,11,Winter,334
05/12/2017,-2.3,25,0.0,1962,0.0,0.0,0.0,No Holiday,12,Winter,321
05/12/2017,-1.6,27,0.0,1955,0.0,0.0,0.0,No Holiday,13,Winter,325
05/12/2017,-1.1,28,0.0,2000,0.0,0.0,0.0,No Holiday,14,Winter,334
05/12/2017,-0.7,28,0.0,2000,0.0,0.0,0.0,No Holiday,15,Winter,353
05/12/2017,-0.5,30,0.0,2000,0.0,0.0,0.0,No Holiday,16,Winter,435
05/12/2017,-1.6,35,0.0,2000,0.0,0.0,0.0,No Holiday,17,Winter,529
05/12/2017,-2.6,40,0.0,2000,0.0,0.0,0.0,No Holiday,18,Winter,789
05/12/2017,-3.2,45,0.0,2000,0.0,0.0,0.0,No Holiday,19,Winter,597
05/12/2017,-3.5,46,0.0,2000,0.0,0.0,0.0,No Holiday,20,Winter,418
05/12/2017,-3.7,47,0.0,2000,0.0,0.0,0.0,No Holiday,21,Winter,415
05/12/2017,-2.8,49,0.0,2000,0.0,0.0,0.0,No Holiday,22,Winter,393
05/12/2017,-2.5,59,0.0,1210,0.0,0.0,0.0,No Holiday,23,Winter,244
06/12/2017,-2.8,77,0.0,331,0.0,0.1,0.1,No Holiday,0,Winter,145
06/12/2017,-3.0,79,0.0,293,0.0,0.0,0.3,No Holiday,1,Winter,144
06/12/2017,-3.0,79,0.0,1862,0.0,0.0,0.4,No Holiday,2,Winter,117
06/12/2017,-3.2,78,0.0,1808,0.0,0.2,0.4,No Holiday,3,Winter,78
06/12/2017,-3.4,75,0.0,1982,0.0,0.0,0.4,No Holiday,4,Winter,58
06/12/2017,-3.6,76,0.0,1934,0.0,0.0,0.4,No Holiday,5,Winter,87
06/12/2017,-3.7,76,0.0,1864,0.0,0.0,0.4,No Holiday,6,Winter,142
06/12/2017,-4.2,77,0.0,1741,0.0,0.0,0.3,No Holiday,7,Winter,379
06/12/2017,-4.2,78,0.0,1518,0.01,0.0,0.2,No Holiday,8,Winter,802
06/12/2017,-3.3,70,0.0,1324,0.25,0.0,0.2,No Holiday,9,Winter,440
06/12/2017,-0.9,64,0.0,1224,0.63,0.0,0.2,No Holiday,10,Winter,307
06/12/2017,1.6,57,1.2,1261,0.93,0.0,0.0,No Holiday,11,Winter,381
06/12/2017,2.4,52,0.9,1224,1.08,0.0,0.0,No Holiday,12,Winter,405
06/12/2017,4.2,47,1.1,1469,1.1,0.0,0.0,No Holiday,13,Winter,442
06/12/2017,5.5,34,1.0,1966,0.96,0.0,0.0,No Holiday,14,Winter,416
06/12/2017,5.5,31,3.1,1968,0.72,0.0,0.0,No Holiday,15,Winter,412
06/12/2017,5.3,37,2.9,2000,0.36,0.0,0.0,No Holiday,16,Winter,496
06/12/2017,4.1,60,2.5,1565,0.1,0.0,0.0,No Holiday,17,Winter,239
06/12/2017,1.7,90,1.0,66,0.0,0.3,0.3,No Holiday,18,Winter,204
06/12/2017,1.2,92,0.7,180,0.0,0.0,1.0,No Holiday,19,Winter,205
06/12/2017,1.2,94,0.6,228,0.0,0.0,1.0,No Holiday,20,Winter,190
06/12/2017,1.1,92,0.5,235,0.0,0.7,1.0,No Holiday,21,Winter,165
06/12/2017,1.3,92,0.6,233,0.0,0.0,1.0,No Holiday,22,Winter,222
06/12/2017,1.3,92,0.6,209,0.0,0.0,1.0,No Holiday,23,Winter,193
07/12/2017,1.4,92,0.5,240,0.0,0.0,0.9,No Holiday,0,Winter,198
07/12/2017,1.5,92,0.4,227,0.0,0.0,0.9,No Holiday,1,Winter,218
07/12/2017,1.4,92,0.7,168,0.0,0.0,0.9,No Holiday,2,Winter,149
07/12/2017,1.9,91,1.4,218,0.0,0.0,0.9,No Holiday,3,Winter,102
07/12/2017,1.6,92,0.7,119,0.0,0.0,0.9,No Holiday,4,Winter,62
07/12/2017,1.5,92,1.1,175,0.0,0.0,0.9,No Holiday,5,Winter,83
07/12/2017,1.0,93,0.5,148,0.0,0.0,0.9,No Holiday,6,Winter,137
07/12/2017,0.3,93,0.5,173,0.0,0.0,0.9,No Holiday,7,Winter,367
07/12/2017,-0.2,96,0.8,173,0.01,0.0,0.8,No Holiday,8,Winter,754
07/12/2017,0.1,91,0.8,265,0.14,0.0,0.8,No Holiday,9,Winter,415
07/12/2017,1.1,83,0.7,311,0.41,0.0,0.7,No Holiday,10,Winter,321
07/12/2017,2.3,69,1.7,628,0.63,0.0,0.6,No Holiday,11,Winter,333
07/12/2017,3.7,65,2.4,833,0.98,0.0,0.3,No Holiday,12,Winter,431
07/12/2017,4.1,37,3.1,1767,1.14,0.0,0.0,No Holiday,13,Winter,394
07/12/2017,4.4,36,2.7,1975,1.04,0.0,0.0,No Holiday,14,Winter,390
07/12/2017,4.0,35,3.1,1962,0.84,0.0,0.0,No Holiday,15,Winter,430
07/12/2017,3.2,38,2.9,1817,0.51,0.0,0.0,No Holiday,16,Winter,471
07/12/2017,2.1,50,2.0,1434,0.15,0.0,0.0,No Holiday,17,Winter,552
07/12/2017,0.7,46,2.7,1558,0.0,0.0,0.0,No Holiday,18,Winter,795
07/12/2017,-0.4,47,2.5,1269,0.0,0.0,0.0,No Holiday,19,Winter,507
07/12/2017,-1.4,47,2.5,1620,0.0,0.0,0.0,No Holiday,20,Winter,390
07/12/2017,-2.2,46,2.2,1975,0.0,0.0,0.0,No Holiday,21,Winter,402
07/12/2017,-2.7,48,2.6,1844,0.0,0.0,0.0,No Holiday,22,Winter,389
07/12/2017,-3.2,50,2.1,1887,0.0,0.0,0.0,No Holiday,23,Winter,259
08/12/2017,-3.5,49,2.6,1893,0.0,0.0,0.0,No Holiday,0,Winter,233
08/12/2017,-3.7,50,2.5,1902,0.0,0.0,0.0,No Holiday,1,Winter,230
08/12/2017,-4.3,53,1.0,1918,0.0,0.0,0.0,No Holiday,2,Winter,131
08/12/2017,-4.8,52,1.6,1978,0.0,0.0,0.0,No Holiday,3,Winter,99
08/12/2017,-5.3,53,2.4,1936,0.0,0.0,0.0,No Holiday,4,Winter,71
08/12/2017,-5.8,56,2.0,1941,0.0,0.0,0.0,No Holiday,5,Winter,84
08/12/2017,-6.0,56,3.5,1853,0.0,0.0,0.0,No Holiday,6,Winter,158
08/12/2017,-6.5,57,0.8,1776,0.0,0.0,0.0,No Holiday,7,Winter,387
08/12/2017,-7.0,59,0.8,1559,0.01,0.0,0.0,No Holiday,8,Winter,780
08/12/2017,-6.7,50,0.9,1492,0.23,0.0,0.0,No Holiday,9,Winter,395
08/12/2017,-5.3,44,2.8,1516,0.63,0.0,0.0,No Holiday,10,Winter,261
08/12/2017,-3.7,39,1.4,1595,0.93,0.0,0.0,No Holiday,11,Winter,310
08/12/2017,-2.0,30,1.4,1728,1.14,0.0,0.0,No Holiday,12,Winter,355
08/12/2017,-1.7,28,1.8,1963,1.22,0.0,0.0,No Holiday,13,Winter,354
08/12/2017,-1.3,27,3.1,1906,1.12,0.0,0.0,No Holiday,14,Winter,350
08/12/2017,-0.8,26,3.3,1977,0.87,0.0,0.0,No Holiday,15,Winter,362
08/12/2017,-1.1,24,3.4,2000,0.56,0.0,0.0,No Holiday,16,Winter,401
08/12/2017,-2.4,30,2.7,2000,0.18,0.0,0.0,No Holiday,17,Winter,500
08/12/2017,-3.1,33,1.2,2000,0.0,0.0,0.0,No Holiday,18,Winter,752
08/12/2017,-3.3,35,1.1,2000,0.0,0.0,0.0,No Holiday,19,Winter,477
08/12/2017,-3.3,34,1.5,2000,0.0,0.0,0.0,No Holiday,20,Winter,384
08/12/2017,-3.3,35,0.5,2000,0.0,0.0,0.0,No Holiday,21,Winter,336
08/12/2017,-3.4,39,1.2,2000,0.0,0.0,0.0,No Holiday,22,Winter,347
08/12/2017,-3.5,43,0.9,2000,0.0,0.0,0.0,No Holiday,23,Winter,275
09/12/2017,-3.5,48,0.9,1967,0.0,0.0,0.0,No Holiday,0,Winter,267
09/12/2017,-4.1,49,0.6,2000,0.0,0.0,0.0,No Holiday,1,Winter,296
09/12/2017,-4.7,50,0.7,1983,0.0,0.0,0.0,No Holiday,2,Winter,237
09/12/2017,-4.3,47,0.6,1992,0.0,0.0,0.0,No Holiday,3,Winter,169
09/12/2017,-4.3,49,0.7,2000,0.0,0.0,0.0,No Holiday,4,Winter,96
09/12/2017,-4.7,49,0.8,1999,0.0,0.0,0.0,No Holiday,5,Winter,56
09/12/2017,-5.1,53,0.9,1975,0.0,0.0,0.0,No Holiday,6,Winter,76
09/12/2017,-5.5,56,0.8,1950,0.0,0.0,0.0,No Holiday,7,Winter,127
09/12/2017,-5.4,56,0.7,1940,0.01,0.0,0.0,No Holiday,8,Winter,222
09/12/2017,-4.7,48,1.0,1784,0.23,0.0,0.0,No Holiday,9,Winter,291
09/12/2017,-2.2,42,1.3,1646,0.61,0.0,0.0,No Holiday,10,Winter,273
09/12/2017,0.0,45,1.1,1500,0.89,0.0,0.0,No Holiday,11,Winter,351
09/12/2017,2.4,40,0.8,1809,1.05,0.0,0.0,No Holiday,12,Winter,427
09/12/2017,3.9,36,2.0,1702,1.13,0.0,0.0,No Holiday,13,Winter,431
09/12/2017,4.7,32,2.2,1948,1.06,0.0,0.0,No Holiday,14,Winter,486
09/12/2017,5.2,30,2.0,1963,0.84,0.0,0.0,No Holiday,15,Winter,569
09/12/2017,4.4,33,1.6,1963,0.4,0.0,0.0,No Holiday,16,Winter,546
09/12/2017,3.5,37,1.8,1963,0.1,0.0,0.0,No Holiday,17,Winter,481
09/12/2017,2.5,41,1.0,1974,0.0,0.0,0.0,No Holiday,18,Winter,384
09/12/2017,1.5,48,0.4,1878,0.0,0.0,0.0,No Holiday,19,Winter,275
09/12/2017,0.8,51,1.4,1848,0.0,0.0,0.0,No Holiday,20,Winter,298
09/12/2017,-0.1,55,0.7,1654,0.0,0.0,0.0,No Holiday,21,Winter,321
09/12/2017,-0.5,55,0.6,1655,0.0,0.0,0.0,No Holiday,22,Winter,289
09/12/2017,-0.1,54,1.3,1570,0.0,0.0,0.0,No Holiday,23,Winter,265
10/12/2017,-0.2,55,1.0,1629,0.0,0.0,0.0,No Holiday,0,Winter,326
10/12/2017,-0.2,54,0.5,1747,0.0,0.0,0.0,No Holiday,1,Winter,280
10/12/2017,0.2,52,0.7,1726,0.0,0.0,0.0,No Holiday,2,Winter,243
10/12/2017,0.3,53,0.5,1748,0.0,0.0,0.0,No Holiday,3,Winter,169
10/12/2017,0.4,52,1.6,1816,0.0,0.0,0.0,No Holiday,4,Winter,71
10/12/2017,0.3,74,1.0,178,0.0,0.0,0.7,No Holiday,5,Winter,13
10/12/2017,-0.5,90,0.9,91,0.0,2.5,2.7,No Holiday,6,Winter,9
10/12/2017,-0.4,92,1.1,121,0.0,0.0,4.0,No Holiday,7,Winter,20
10/12/2017,-0.2,90,1.2,378,0.0,0.0,4.1,No Holiday,8,Winter,35
10/12/2017,0.2,90,1.0,305,0.0,1.6,4.3,No Holiday,9,Winter,31
10/12/2017,0.5,91,0.4,143,0.0,0.0,4.3,No Holiday,10,Winter,19
10/12/2017,0.9,92,0.9,137,0.03,0.0,3.9,No Holiday,11,Winter,58
10/12/2017,2.3,88,0.3,245,0.28,0.0,3.1,No Holiday,12,Winter,119
10/12/2017,3.3,87,1.1,230,0.54,0.0,2.1,No Holiday,13,Winter,182
10/12/2017,4.2,85,0.7,325,0.65,0.0,1.4,No Holiday,14,Winter,235
10/12/2017,6.7,63,4.5,715,0.35,0.0,1.0,No Holiday,15,Winter,180
10/12/2017,5.4,71,3.5,622,0.2,0.0,0.5,No Holiday,16,Winter,214
10/12/2017,3.6,65,4.3,1061,0.03,0.0,0.4,No Holiday,17,Winter,226
10/12/2017,2.0,61,3.0,2000,0.0,0.0,0.0,No Holiday,18,Winter,210
10/12/2017,1.6,53,4.0,2000,0.0,0.0,0.0,No Holiday,19,Winter,181
10/12/2017,0.6,57,3.9,1954,0.0,0.0,0.0,No Holiday,20,Winter,165
10/12/2017,0.0,59,3.0,1862,0.0,0.0,0.0,No Holiday,21,Winter,167
10/12/2017,-1.0,56,4.7,2000,0.0,0.0,0.0,No Holiday,22,Winter,152
10/12/2017,-1.4,43,4.3,2000,0.0,0.0,0.0,No Holiday,23,Winter,148
11/12/2017,-2.5,39,3.4,2000,0.0,0.0,0.0,No Holiday,0,Winter,125
11/12/2017,-3.4,36,3.8,2000,0.0,0.0,0.0,No Holiday,1,Winter,111
11/12/2017,-4.2,35,3.4,2000,0.0,0.0,0.0,No Holiday,2,Winter,67
11/12/2017,-4.7,38,2.4,2000,0.0,0.0,0.0,No Holiday,3,Winter,45
11/12/2017,-5.2,35,3.2,2000,0.0,0.0,0.0,No Holiday,4,Winter,44
11/12/2017,-5.6,38,3.2,1974,0.0,0.0,0.0,No Holiday,5,Winter,86
11/12/2017,-5.9,39,2.9,1979,0.0,0.0,0.0,No Holiday,6,Winter,136
11/12/2017,-6.0,39,3.1,1996,0.0,0.0,0.0,No Holiday,7,Winter,325
11/12/2017,-6.0,38,3.6,1994,0.01,0.0,0.0,No Holiday,8,Winter,653
11/12/2017,-5.9,36,5.1,1941,0.1,0.0,0.0,No Holiday,9,Winter,326
11/12/2017,-5.3,32,4.5,2000,0.62,0.0,0.0,No Holiday,10,Winter,212
11/12/2017,-4.7,36,3.8,2000,1.0,0.0,0.0,No Holiday,11,Winter,226
11/12/2017,-5.2,33,4.6,1973,1.26,0.0,0.0,No Holiday,12,Winter,247
11/12/2017,-5.4,32,5.1,1986,1.24,0.0,0.0,No Holiday,13,Winter,241
11/12/2017,-5.4,31,4.1,1945,1.13,0.0,0.0,No Holiday,14,Winter,253
11/12/2017,-5.5,33,4.5,2000,0.92,0.0,0.0,No Holiday,15,Winter,269
11/12/2017,-6.0,40,4.0,2000,0.55,0.0,0.0,No Holiday,16,Winter,277
11/12/2017,-7.1,44,4.2,2000,0.18,0.0,0.0,No Holiday,17,Winter,361
11/12/2017,-7.9,43,3.3,2000,0.0,0.0,0.0,No Holiday,18,Winter,557
11/12/2017,-8.6,45,3.9,2000,0.0,0.0,0.0,No Holiday,19,Winter,371
11/12/2017,-9.3,49,3.8,2000,0.0,0.0,0.0,No Holiday,20,Winter,254
11/12/2017,-9.7,51,2.5,2000,0.0,0.0,0.0,No Holiday,21,Winter,266
11/12/2017,-10.2,50,3.0,2000,0.0,0.0,0.0,No Holiday,22,Winter,222
11/12/2017,-10.7,53,1.2,2000,0.0,0.0,0.0,No Holiday,23,Winter,174
12/12/2017,-11.0,51,1.1,2000,0.0,0.0,0.0,No Holiday,0,Winter,133
12/12/2017,-11.2,51,1.1,2000,0.0,0.0,0.0,No Holiday,1,Winter,127
12/12/2017,-11.5,50,0.7,2000,0.0,0.0,0.0,No Holiday,2,Winter,95
12/12/2017,-11.6,50,2.2,1995,0.0,0.0,0.0,No Holiday,3,Winter,54
12/12/2017,-11.6,47,2.1,1982,0.0,0.0,0.0,No Holiday,4,Winter,46
12/12/2017,-11.6,45,2.8,1951,0.0,0.0,0.0,No Holiday,5,Winter,65
12/12/2017,-11.8,47,2.5,1973,0.0,0.0,0.0,No Holiday,6,Winter,104
12/12/2017,-12.1,50,2.3,1929,0.0,0.0,0.0,No Holiday,7,Winter,280
12/12/2017,-12.3,52,1.3,1914,0.0,0.0,0.0,No Holiday,8,Winter,580
12/12/2017,-11.8,46,2.9,1956,0.1,0.0,0.0,No Holiday,9,Winter,275
12/12/2017,-10.5,45,3.3,1855,0.6,0.0,0.0,No Holiday,10,Winter,184
12/12/2017,-9.4,42,3.1,1815,0.93,0.0,0.0,No Holiday,11,Winter,201
12/12/2017,-8.3,35,2.9,1967,1.14,0.0,0.0,No Holiday,12,Winter,228
12/12/2017,-6.9,37,2.4,1955,1.22,0.0,0.0,No Holiday,13,Winter,225
12/12/2017,-5.4,32,2.0,1930,1.12,0.0,0.0,No Holiday,14,Winter,258
12/12/2017,-5.8,30,2.8,2000,0.92,0.0,0.0,No Holiday,15,Winter,250
12/12/2017,-6.0,29,2.8,1983,0.58,0.0,0.0,No Holiday,16,Winter,248
12/12/2017,-7.0,32,2.6,2000,0.19,0.0,0.0,No Holiday,17,Winter,305
12/12/2017,-7.7,36,1.0,2000,0.0,0.0,0.0,No Holiday,18,Winter,529
12/12/2017,-8.2,43,1.1,2000,0.0,0.0,0.0,No Holiday,19,Winter,350
12/12/2017,-8.4,42,1.0,2000,0.0,0.0,0.0,No Holiday,20,Winter,260
12/12/2017,-8.8,43,1.4,1999,0.0,0.0,0.0,No Holiday,21,Winter,270
12/12/2017,-9.0,45,1.3,1999,0.0,0.0,0.0,No Holiday,22,Winter,256
12/12/2017,-9.3,47,2.1,2000,0.0,0.0,0.0,No Holiday,23,Winter,173
13/12/2017,-9.5,48,1.3,1996,0.0,0.0,0.0,No Holiday,0,Winter,168
13/12/2017,-10.2,52,1.6,1997,0.0,0.0,0.0,No Holiday,1,Winter,183
13/12/2017,-10.4,53,1.8,1949,0.0,0.0,0.0,No Holiday,2,Winter,120
13/12/2017,-10.9,55,1.8,1913,0.0,0.0,0.0,No Holiday,3,Winter,79
13/12/2017,-11.4,58,1.3,1907,0.0,0.0,0.0,No Holiday,4,Winter,41
13/12/2017,-11.5,58,1.1,1923,0.0,0.0,0.0,No Holiday,5,Winter,68
13/12/2017,-11.9,57,1.1,1974,0.0,0.0,0.0,No Holiday,6,Winter,109
13/12/2017,-11.7,53,1.6,1998,0.0,0.0,0.0,No Holiday,7,Winter,310
13/12/2017,-11.4,47,3.3,2000,0.0,0.0,0.0,No Holiday,8,Winter,591
