sugarpercent,pricepercent,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,winpercent
0.98799998,0.65100002,1,0,0,1,0,0,0,0,0,72.887901
0.73199999,0.96499997,0,1,0,0,0,0,1,0,0,35.290756
0.86000001,0.86000001,1,0,1,0,0,0,0,0,1,65.716286
0.73199999,0.068999998,0,0,0,0,0,0,1,0,1,29.703691
0.87199998,0.27900001,0,1,0,0,0,0,1,0,1,42.849144
0.22,0.081,1,0,0,0,0,0,0,0,1,34.722
0.94099998,0.22,0,1,0,0,0,0,0,0,1,63.08514
0.94099998,0.22,0,1,0,0,0,0,0,0,1,55.103695
0.26699999,0.97600001,1,0,0,0,0,0,0,0,1,37.887188
0.26699999,0.116,0,1,0,0,0,0,1,0,1,45.995827
0.546,0.65100002,1,0,1,1,1,0,0,1,0,76.673782
0.60399997,0.65100002,1,0,1,1,0,1,0,1,0,59.529251
0.068999998,0.116,0,1,0,0,0,0,0,0,1,59.863998
0.068999998,0.116,0,1,0,0,0,0,0,0,1,52.825947
0.15099999,0.22,0,1,0,0,0,0,0,0,1,67.037628
0.56900001,0.057999998,0,1,0,0,0,0,1,0,1,34.578991
0.96499997,0.76700002,0,0,1,0,0,0,0,0,1,33.43755
0.41800001,0.32499999,0,0,1,0,0,0,0,0,0,32.230995
0.162,0.116,0,1,0,0,0,0,0,0,0,27.303865
0.60399997,0.755,0,1,0,0,0,0,0,0,1,54.861111
0.60399997,0.32499999,1,1,0,0,0,0,1,0,0,48.982651
0.31299999,0.51099998,1,0,0,0,0,0,0,0,0,43.068897
0.17399999,0.011,1,0,0,0,0,0,0,0,1,45.736748
0.465,0.32499999,1,0,0,0,0,0,0,1,0,49.653503
0.31299999,0.255,0,1,0,0,0,0,0,0,1,47.173229
0.546,0.90600002,1,0,1,0,0,1,0,1,0,81.642914
0.22,0.116,0,1,0,0,0,0,0,0,0,45.466282
0.093000002,0.116,0,1,0,0,0,0,1,0,0,39.011898
0.31299999,0.31299999,0,1,0,0,0,0,0,0,1,44.375519
0.186,0.26699999,0,0,1,0,0,0,1,0,0,41.904308
0.87199998,0.84799999,1,0,0,0,0,1,0,0,1,49.524113
